                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59116,                0.62862,                0.97492,                0.95697,                0.96509,                0.98814,                0.91965,                0.40855,                0.28136,                0.84092,              0.0033325,              0.0033325,              0.0033325
                      2,                0.59578,                0.43358,                0.96202,                0.95936,                0.97389,                0.98912,                0.91497,                0.41806,                0.28436,                0.84785,              0.0065998,              0.0065998,              0.0065998
                      3,                0.64945,                0.48156,                0.98642,                0.95606,                0.96744,                0.98702,                0.90826,                0.42931,                0.29942,                0.85249,              0.0098011,              0.0098011,              0.0098011
                      4,                0.64889,                0.47608,                0.98881,                0.96916,                0.96978,                0.99061,                0.92613,                0.39233,                0.25773,                0.83408,               0.009703,               0.009703,               0.009703
                      5,                0.60596,                0.42786,                0.96944,                0.96918,                0.97584,                0.99008,                 0.9352,                0.36717,                0.23127,                0.82376,               0.009703,               0.009703,               0.009703
                      6,                0.57885,                0.39867,                0.95665,                0.97519,                0.97858,                0.99169,                0.94242,                0.34989,                0.21077,                 0.8178,               0.009604,               0.009604,               0.009604
                      7,                 0.5588,                0.38079,                0.94732,                 0.9742,                0.98153,                0.99182,                0.94808,                 0.3387,                0.20206,                0.81615,               0.009505,               0.009505,               0.009505
                      8,                0.54558,                0.36791,                0.94062,                0.97776,                0.97929,                0.99178,                0.95188,                 0.3266,                0.19109,                0.80992,               0.009406,               0.009406,               0.009406
                      9,                0.53332,                0.35671,                0.93783,                 0.9784,                0.97783,                0.99201,                0.95528,                0.31889,                0.18473,                0.80762,               0.009307,               0.009307,               0.009307
                     10,                0.52422,                0.34825,                0.93278,                0.97946,                0.97865,                0.99206,                0.95683,                0.31351,                0.17899,                0.80446,               0.009208,               0.009208,               0.009208
                     11,                0.51554,                0.34264,                0.92731,                 0.9783,                0.98065,                0.99238,                0.95954,                0.30789,                0.17542,                0.80146,               0.009109,               0.009109,               0.009109
                     12,                0.50978,                0.33549,                0.92402,                0.97791,                0.98224,                0.99259,                 0.9603,                0.30406,                0.17032,                0.79999,                0.00901,                0.00901,                0.00901
                     13,                0.50372,                0.33151,                0.92133,                  0.978,                0.98247,                0.99259,                0.96144,                0.30129,                0.16838,                0.79859,               0.008911,               0.008911,               0.008911
