                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.42957,                0.26704,                0.89268,                0.98211,                0.98238,                0.99299,                 0.9693,                0.27688,                0.14898,                0.79007,                0.00604,                0.00604,                0.00604
                     43,                0.43728,                0.27309,                0.89554,                0.98271,                0.98204,                0.99299,                0.96955,                0.27645,                0.14852,                0.79006,               0.005941,               0.005941,               0.005941
                     44,                0.43616,                0.27254,                0.89337,                 0.9832,                0.98176,                  0.993,                0.96975,                0.27596,                0.14807,                0.78996,               0.005842,               0.005842,               0.005842
                     45,                0.43469,                0.27158,                0.89195,                0.98355,                0.98154,                0.99298,                0.96984,                 0.2756,                0.14757,                0.78972,               0.005743,               0.005743,               0.005743
                     46,                0.43502,                0.27273,                 0.8933,                0.98436,                0.98095,                  0.993,                0.97006,                0.27523,                0.14726,                0.78967,               0.005644,               0.005644,               0.005644
                     47,                0.43595,                 0.2716,                0.89401,                0.98409,                 0.9811,                  0.993,                 0.9701,                0.27478,                0.14671,                0.78963,               0.005545,               0.005545,               0.005545
                     48,                0.43327,                0.27247,                0.89209,                 0.9843,                0.98091,                0.99303,                0.97024,                0.27437,                0.14648,                0.78961,               0.005446,               0.005446,               0.005446
                     49,                0.43386,                0.27095,                 0.8908,                0.98388,                0.98119,                0.99305,                0.97034,                0.27411,                0.14611,                0.78941,               0.005347,               0.005347,               0.005347
                     50,                0.43176,                0.26899,                0.89114,                0.98319,                0.98192,                0.99306,                0.97055,                0.27376,                0.14582,                0.78922,               0.005248,               0.005248,               0.005248
                     51,                0.42848,                0.26689,                 0.8907,                0.98401,                0.98163,                0.99307,                 0.9706,                0.27343,                0.14551,                0.78915,               0.005149,               0.005149,               0.005149
                     52,                0.42738,                0.26585,                0.88915,                0.98434,                 0.9815,                 0.9931,                0.97087,                0.27303,                 0.1448,                0.78895,                0.00505,                0.00505,                0.00505
                     53,                0.42535,                 0.2656,                0.89021,                0.98372,                0.98179,                 0.9931,                0.97113,                0.27248,                0.14448,                0.78885,               0.004951,               0.004951,               0.004951
                     54,                0.42336,                0.26411,                 0.8888,                0.98435,                0.98139,                0.99311,                0.97109,                0.27199,                0.14402,                0.78875,               0.004852,               0.004852,               0.004852
                     55,                0.42466,                0.26236,                0.88867,                0.98322,                0.98266,                0.99315,                0.97137,                0.27157,                0.14376,                0.78864,               0.004753,               0.004753,               0.004753
                     56,                0.42323,                0.26269,                0.88828,                0.98334,                0.98267,                0.99318,                0.97124,                0.27124,                0.14353,                 0.7885,               0.004654,               0.004654,               0.004654
                     57,                0.42295,                0.26099,                0.88994,                0.98593,                0.98041,                0.99318,                0.97149,                0.27076,                0.14329,                 0.7884,               0.004555,               0.004555,               0.004555
                     58,                0.41974,                 0.2604,                0.88674,                0.98575,                0.98025,                0.99321,                0.97167,                0.27028,                0.14313,                0.78819,               0.004456,               0.004456,               0.004456
                     59,                0.41706,                0.25747,                0.88523,                0.98354,                0.98257,                 0.9932,                0.97175,                0.26982,                0.14305,                0.78806,               0.004357,               0.004357,               0.004357
                     60,                0.41717,                0.25719,                0.88557,                0.98497,                0.98155,                0.99324,                0.97194,                 0.2694,                0.14306,                 0.7879,               0.004258,               0.004258,               0.004258
                     61,                0.41655,                 0.2564,                 0.8846,                0.98509,                 0.9816,                0.99326,                0.97189,                0.26906,                0.14286,                0.78772,               0.004159,               0.004159,               0.004159
                     62,                 0.4128,                 0.2547,                0.88404,                0.98622,                0.98046,                0.99326,                0.97212,                0.26872,                0.14235,                0.78761,                0.00406,                0.00406,                0.00406
                     63,                0.41167,                0.25389,                0.88287,                0.98641,                0.98037,                0.99324,                0.97211,                0.26838,                0.14181,                0.78752,               0.003961,               0.003961,               0.003961
                     64,                0.40983,                0.25247,                0.88204,                0.98656,                0.98012,                0.99328,                0.97236,                0.26786,                0.14159,                0.78728,               0.003862,               0.003862,               0.003862
                     65,                0.40948,                0.25119,                0.88445,                0.98645,                0.98041,                 0.9933,                0.97243,                0.26741,                0.14106,                0.78721,               0.003763,               0.003763,               0.003763
                     66,                0.38914,                0.23422,                0.87548,                0.98684,                0.98012,                0.99333,                 0.9725,                0.26708,                0.14068,                0.78706,               0.003664,               0.003664,               0.003664
                     67,                0.39638,                 0.2396,                0.87756,                0.98739,                   0.98,                0.99334,                0.97271,                0.26671,                0.14032,                 0.7868,               0.003565,               0.003565,               0.003565
                     68,                0.39435,                0.23786,                 0.8747,                0.98589,                 0.9812,                0.99337,                 0.9728,                0.26628,                0.14004,                0.78644,               0.003466,               0.003466,               0.003466
                     69,                0.39505,                0.24008,                0.87601,                0.98553,                0.98159,                0.99337,                0.97284,                0.26596,                0.13929,                 0.7863,               0.003367,               0.003367,               0.003367
                     70,                0.39399,                0.23905,                0.87485,                0.98542,                0.98194,                0.99339,                0.97299,                0.26559,                0.13929,                0.78613,               0.003268,               0.003268,               0.003268
                     71,                0.39404,                0.23744,                0.87572,                 0.9855,                0.98208,                 0.9934,                0.97323,                0.26526,                 0.1387,                0.78604,               0.003169,               0.003169,               0.003169
                     72,                0.39283,                0.23885,                0.87678,                0.98576,                0.98197,                 0.9934,                0.97331,                0.26503,                 0.1382,                0.78593,                0.00307,                0.00307,                0.00307
                     73,                 0.3674,                0.21997,                0.86676,                0.98538,                0.98238,                0.99341,                0.97343,                0.26489,                0.13801,                0.78587,               0.002971,               0.002971,               0.002971
                     74,                0.37659,                 0.2257,                0.87065,                0.98584,                0.98211,                0.99342,                0.97349,                0.26471,                0.13766,                0.78583,               0.002872,               0.002872,               0.002872
                     75,                0.37718,                0.22569,                0.86941,                0.98663,                0.98179,                 0.9934,                0.97361,                0.26447,                0.13752,                0.78582,               0.002773,               0.002773,               0.002773
                     76,                0.37828,                0.22624,                0.86953,                0.98652,                0.98181,                0.99341,                0.97372,                0.26431,                 0.1372,                0.78566,               0.002674,               0.002674,               0.002674
                     77,                 0.3786,                0.22603,                0.87003,                0.98588,                0.98214,                 0.9934,                0.97377,                  0.264,                0.13705,                0.78555,               0.002575,               0.002575,               0.002575
